N,defector_rate,delta,mean_S_R,mean_S_R_bar,mean_R,mean_kappa,coop_mean
20,0.2,0.5,83.71185499680692,0.598822142801102,0.00437494481480316,-37.019383655864,0.6769499999999999
20,0.2,0.5,84.36065215900403,0.603463231054671,0.005143982512798093,-36.72701895298124,0.680825
20,0.2,0.5,84.58882408988022,0.605095430037474,0.0035107735382064326,-36.82421402779783,0.6825125
20,0.2,0.75,83.71185499680692,0.598822142801102,0.00437494481480316,-37.019383655864,0.6769499999999999
20,0.2,0.75,84.36065215900403,0.603463231054671,0.005143982512798093,-36.72701895298124,0.680825
20,0.2,0.75,84.58882408988022,0.605095430037474,0.0035107735382064326,-36.82421402779783,0.6825125
20,0.2,0.95,83.71185499680692,0.598822142801102,0.00437494481480316,-37.019383655864,0.6769499999999999
20,0.2,0.95,84.36065215900403,0.603463231054671,0.005143982512798093,-36.72701895298124,0.680825
20,0.2,0.95,84.58882408988022,0.605095430037474,0.0035107735382064326,-36.82421402779783,0.6825125
20,0.5,0.5,114.01626893665998,0.8156009263137429,0.0043636557801295045,-37.26113681641494,0.4274625
20,0.5,0.5,115.20737136089046,0.8241213265127407,0.004815774997416782,-37.007549216871396,0.43066249999999995
20,0.5,0.5,117.0448974868129,0.8372658367164612,0.0038014418431853766,-36.954853388967855,0.4300750000000001
20,0.5,0.75,114.01626893665998,0.8156009263137429,0.0043636557801295045,-37.26113681641494,0.4274625
20,0.5,0.75,115.20737136089046,0.8241213265127407,0.004815774997416782,-37.007549216871396,0.43066249999999995
20,0.5,0.75,117.0448974868129,0.8372658367164612,0.0038014418431853766,-36.954853388967855,0.4300750000000001
20,0.5,0.95,114.01626893665998,0.8156009263137429,0.0043636557801295045,-37.26113681641494,0.4274625
20,0.5,0.95,115.20737136089046,0.8241213265127407,0.004815774997416782,-37.007549216871396,0.43066249999999995
20,0.5,0.95,117.0448974868129,0.8372658367164612,0.0038014418431853766,-36.954853388967855,0.4300750000000001
